sector,context,cadence,time_spacecraft_btjd,quaternion_rows,finite_fom_rows,minimum_fom,finite_guide_count_rows,minimum_guides_used
32,6,4163850,2191.308668227723,10,10,236.0,10,199.0
32,6,4163851,2191.308899709102,10,10,236.0,10,199.0
32,6,4163852,2191.3091311904805,10,10,236.0,10,199.0
32,6,4163853,2191.3093626718596,10,10,236.0,10,199.0
32,6,4163854,2191.309594153238,10,10,236.0,10,199.0
32,6,4163855,2191.309825634617,10,10,236.0,10,199.0
32,6,4163856,2191.3100571159953,10,10,236.0,10,199.0
32,6,4163857,2191.310288597374,10,10,236.0,10,199.0
32,6,4163858,2191.3105200787527,10,10,236.0,10,199.0
32,6,4163859,2191.3107515601314,10,10,236.0,10,199.0
32,6,4163860,2191.31098304151,10,10,236.0,10,199.0
32,6,4163861,2191.311214522889,10,10,236.0,10,199.0
32,6,4163862,2191.3114460042675,10,10,236.0,10,199.0
32,6,4163863,2191.311677485646,10,10,236.0,10,198.0
32,6,4163864,2191.311908967025,10,10,236.0,10,199.0
32,6,4163865,2191.3121404484036,10,10,236.0,10,199.0
32,6,4163866,2191.3123719297832,10,10,236.0,10,199.0
32,6,4163867,2191.3126034111624,10,10,236.0,10,199.0
32,6,4163868,2191.312834892541,10,10,236.0,10,199.0
32,6,4163869,2191.31306637392,10,10,236.0,10,199.0
32,6,4163870,2191.3132978552985,10,10,236.0,10,199.0
32,6,4163871,2191.313529336677,10,10,236.0,10,198.0
32,6,4163872,2191.313760818056,10,10,236.0,10,199.0
32,6,4163873,2191.3139922994346,10,10,236.0,10,199.0
32,6,4163874,2191.314223780813,10,10,236.0,10,199.0
32,6,4163875,2191.314455262192,10,10,236.0,10,199.0
32,6,4163876,2191.3146867435703,10,10,236.0,10,199.0
32,6,4163877,2191.3149182249495,10,10,236.0,10,199.0
32,6,4163878,2191.3151497063286,10,10,236.0,10,199.0
32,6,4163879,2191.3153811877073,10,10,236.0,10,199.0
32,6,4163880,2191.315612669086,10,10,236.0,10,199.0
32,6,4163881,2191.3158441504647,10,10,236.0,10,199.0
32,6,4163882,2191.3160756318434,10,10,236.0,10,199.0
32,6,4163883,2191.316307113222,10,10,236.0,10,199.0
32,6,4163884,2191.316538594601,10,10,236.0,10,199.0
32,6,4163885,2191.3167700759795,10,10,236.0,10,199.0
32,6,4163886,2191.317001557359,10,10,236.0,10,199.0
32,6,4163887,2191.3172330387383,10,10,236.0,10,198.0
32,6,4163888,2191.317464520117,10,10,236.0,10,199.0
32,6,4163889,2191.3176960014957,10,10,236.0,10,198.0
32,6,4163890,2191.3179274828744,10,10,236.0,10,199.0
32,6,4163891,2191.318158964253,10,10,236.0,10,199.0
32,6,4163892,2191.318390445632,10,10,236.0,10,199.0
32,6,4163893,2191.3186219270106,10,10,236.0,10,199.0
32,6,4163894,2191.318853408389,10,10,236.0,10,199.0
32,6,4163895,2191.319084889768,10,10,236.0,10,199.0
32,6,4163896,2191.319316371146,10,10,236.0,10,199.0
32,6,4163897,2191.3195478525254,10,10,236.0,10,199.0
32,6,4163898,2191.3197793339036,10,10,236.0,10,198.0
32,6,4163899,2191.320010815283,10,10,236.0,10,199.0
32,6,4163900,2191.320242296661,10,10,236.0,10,198.0
32,6,4163901,2191.32047377804,10,10,236.0,10,198.0
32,6,4163902,2191.3207052594184,10,10,236.0,10,199.0
32,6,4163903,2191.3209367407976,10,10,236.0,10,199.0
32,6,4163904,2191.321168222176,10,10,236.0,10,199.0
32,6,4163905,2191.321399703555,10,10,236.0,10,199.0
32,6,4163906,2191.321631184934,10,10,236.0,10,199.0
32,6,4163907,2191.3218626663133,10,10,236.0,10,199.0
32,6,4163908,2191.3220941476925,10,10,236.0,10,199.0
32,6,4163909,2191.3223256290707,10,10,236.0,10,199.0
32,6,4163910,2191.3225571104495,10,10,236.0,10,199.0
32,6,4163911,2191.322788591828,10,10,236.0,10,199.0
32,6,4163912,2191.323020073207,10,10,236.0,10,199.0
32,6,4163913,2191.3232515545856,10,10,236.0,10,199.0
32,6,4163914,2191.3234830359643,10,10,236.0,10,199.0
32,6,4163915,2191.323714517343,10,10,236.0,10,199.0
32,6,4163916,2191.3239459987217,10,10,236.0,10,199.0
32,6,4163917,2191.3241774801004,10,10,236.0,10,199.0
32,6,4163918,2191.324408961479,10,10,236.0,10,199.0
32,6,4163919,2191.324640442858,10,10,236.0,10,199.0
32,6,4163920,2191.3248719242365,10,10,236.0,10,199.0
32,6,4163921,2191.325103405615,10,10,236.0,10,199.0
32,6,4163922,2191.325334886994,10,10,236.0,10,199.0
32,6,4163923,2191.3255663683726,10,10,236.0,10,199.0
32,6,4163924,2191.3257978497513,10,10,236.0,10,199.0
32,6,4163925,2191.32602933113,10,10,236.0,10,199.0
32,6,4163926,2191.326260812509,10,10,236.0,10,199.0
